Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-01-01 02:20:18,,FamilyMart,-661,0,JPY,PENDING,
CARD_PAYMENT,Current,2024-01-01 02:23:29,,7-Eleven,-432,0,JPY,PENDING,
CARD_PAYMENT,Current,2024-01-01 12:01:31,,Steam,-7649,0,JPY,PENDING,
CARD_PAYMENT,Current,2024-01-02 01:30:30,,FamilyMart,-864,0,JPY,PENDING,
CARD_PAYMENT,Current,2024-01-02 01:40:38,,Odakiyu,-830,0,JPY,PENDING,
CARD_PAYMENT,Current,2023-12-31 03:14:45,2024-01-02 03:02:36,Donqi,-2820,0,JPY,COMPLETED,121644
CARD_PAYMENT,Current,2023-12-31 03:13:19,2024-01-02 03:02:36,Sweets Box,-480,0,JPY,COMPLETED,121164
CARD_PAYMENT,Current,2023-12-30 01:13:17,2024-01-02 03:02:39,FamilyMart,-2509,0,JPY,COMPLETED,118655
CARD_PAYMENT,Current,2024-01-01 12:56:37,2024-01-02 15:12:18,Dinosaur World,-5967,0,JPY,COMPLETED,112688
CARD_PAYMENT,Current,2023-12-31 03:18:58,2024-01-03 03:01:03,FamilyMart,-686,0,JPY,COMPLETED,112002
CARD_PAYMENT,Current,2024-01-03 03:40:00,,Littlemermaid,-1191,0,JPY,PENDING,
CARD_PAYMENT,Current,2024-01-03 03:42:17,,FamilyMart,-506,0,JPY,PENDING,
CARD_PAYMENT,Current,2024-01-03 04:20:02,,Strava,-5850,0,JPY,PENDING,
